STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070201,0,0,0,17,-56,26,200,180,67,89,812,1111
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070202,25,0,0,28,-6,19,310,310,67,89,2242,2251
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070203,0,0,0,28,-56,42,260,260,94,125,1353,1354
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070204,0,0,0,11,-72,42,310,280,107,156,2050,2305
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070205,0,0,0,-67,-117,66,310,290,112,161,54,1251
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070206,8,0,18,-39,-144,34,310,300,80,112,1137,1137
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070207,13,25,38,-22,-94,42,300,310,107,148,1340,1341
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070208,0,0,0,-28,-150,31,290,300,134,183,1046,1050
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070209,0,0,0,6,-139,46,320,280,103,139,902,1214
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070210,0,0,0,17,-100,38,310,310,98,125,856,757
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070211,0,0,0,28,-133,21,230,230,58,130,1424,1451
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070212,0,0,0,61,-89,11,350,230,45,67,1631,1748
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070213,94,25,20,11,-39,30,50,50,67,94,2139,2142
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070214,229,76,56,11,-72,83,310,280,148,201,1525,1637
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070215,0,0,0,-44,-83,70,310,310,130,170,308,350
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070216,0,0,0,-22,-106,41,290,280,94,116,940,940
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070217,0,0,0,28,-144,16,170,170,45,63,1549,1551
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070218,0,0,3,6,-61,54,320,320,125,156,1637,1638
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070219,0,0,0,33,-122,35,310,310,103,139,9,10
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070220,66,0,0,100,33,49,200,200,94,116,430,219
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070221,0,0,0,111,0,28,340,330,80,98,446,447
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070222,0,0,0,139,6,56,310,320,161,219,1526,1527
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070223,0,0,0,39,-22,90,310,310,161,228,156,435
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070224,0,0,0,67,-56,36,310,310,89,116,132,132
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070225,211,0,114,11,0,16,120,110,58,76,1439,1440
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070226,0,102,0,56,0,10,190,180,40,54,1641,1642
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070227,0,0,0,106,-22,20,350,280,63,103,1702,1632
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070228,0,0,0,94,-6,19,320,230,40,80,1659,1550
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070301,43,0,0,122,-22,26,140,100,76,139,2241,2305
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070302,127,0,0,167,44,52,280,280,134,174,1117,1117
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070303,0,0,0,139,-17,38,310,310,116,161,1928,1941
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070304,0,0,0,39,-17,65,290,280,125,161,1517,243
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070305,0,0,0,100,-50,66,320,300,143,192,1749,1745
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070306,0,0,0,0,-72,63,330,330,134,174,403,403
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070307,30,0,48,-11,-72,25,350,140,54,72,933,1922
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070308,0,51,0,50,-117,20,330,310,67,89,1419,1453
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070309,0,0,0,78,-67,28,140,120,72,94,1502,1338
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070310,15,0,0,189,-17,36,190,190,98,125,1209,1208
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070311,3,0,0,150,56,43,340,340,89,116,1550,1551
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070312,0,0,0,161,-33,19,200,200,63,80,1510,1510
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070313,0,0,0,244,56,27,200,210,67,94,1401,1854
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070314,0,0,0,278,128,37,220,240,94,130,1416,1339
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070315,114,0,0,250,33,43,340,10,107,143,1526,1505
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070316,396,0,30,39,-17,51,350,360,107,143,1726,1734
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070317,0,25,0,22,-22,58,310,320,112,148,1606,1607
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070318,0,0,0,56,-28,55,320,280,107,139,1148,1439
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070319,0,0,0,128,-50,55,180,180,107,143,1502,1437
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070320,0,0,0,161,50,46,320,320,98,125,1328,906
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070321,0,0,0,72,39,31,150,150,58,76,1820,1729
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070322,0,0,0,239,44,51,210,190,116,148,1410,1529
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070323,0,0,0,244,122,32,350,270,67,107,1447,1739
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070324,15,0,0,139,100,17,60,100,45,58,1220,849
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070325,0,0,0,189,61,33,20,170,63,80,2052,832
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070326,0,0,0,200,44,40,190,180,89,112,1321,1227
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070327,0,0,0,283,128,34,310,310,116,156,1729,1729
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070328,0,0,0,222,111,40,20,10,80,103,1849,1851
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070329,0,0,0,167,22,38,360,350,67,103,1315,1615
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070330,0,0,0,194,-17,13,200,270,63,76,1555,1412
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070331,0,0,0,178,28,26,110,30,54,72,1212,2200
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070401,0,0,0,150,94,25,310,140,58,76,1452,2356
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070402,13,0,0,272,83,26,280,270,94,130,1315,1519
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070403,0,0,0,278,72,30,120,120,94,116,1716,1716
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070404,15,0,0,167,61,50,310,310,161,201,1859,1903
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070405,0,0,0,72,22,67,310,320,125,156,407,405
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070406,0,0,0,78,0,43,290,280,80,112,1114,1114
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070407,3,0,5,56,-11,55,290,280,116,156,1206,1206
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070408,0,0,0,72,-28,43,280,280,112,156,923,940
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070409,0,0,0,89,-17,27,300,260,76,107,832,906
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070410,0,0,0,111,-22,17,10,70,54,72,1755,1524
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070411,66,0,0,117,-22,29,150,120,72,103,1236,1634
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070412,137,0,0,144,61,35,310,310,112,134,1819,1818
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070413,0,0,0,133,22,55,280,280,125,156,1427,1428
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070414,64,0,0,128,6,24,200,210,80,103,1248,1249
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070415,490,0,0,83,56,64,310,310,161,232,2345,2214
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070416,3,0,0,78,50,112,310,300,174,250,1340,227
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070417,0,0,0,122,72,88,320,340,139,179,120,153
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070418,0,0,0,122,50,31,320,320,72,94,36,35
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070419,0,0,0,139,61,11,30,30,45,58,1651,1651
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070420,0,0,0,217,33,21,350,20,72,116,1229,1406
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070421,0,0,0,244,28,16,300,10,67,103,1454,1226
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070422,0,0,0,283,39,11,290,280,54,89,1518,1323
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070423,0,0,0,300,122,44,210,180,103,134,1619,1627
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070424,0,0,0,278,156,32,320,290,80,134,1737,1734
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070425,0,0,0,256,122,33,30,20,80,112,1741,1746
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070426,23,0,0,156,111,37,130,140,67,94,1523,1523
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070427,46,0,0,217,100,10,330,330,54,67,2309,2310
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070428,0,0,0,206,122,31,290,330,72,89,1959,1003
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070429,0,0,0,244,78,36,310,280,98,134,1511,1406
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070430,0,0,0,300,94,46,320,300,107,143,1840,1350
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070501,0,0,0,272,106,31,350,360,116,156,2330,2329
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070502,0,0,0,283,139,34,340,70,76,103,1756,1218
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070503,0,0,0,189,111,26,40,40,67,80,416,416
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070504,0,0,0,228,67,22,60,270,54,94,1401,1003
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070505,10,0,0,194,106,26,220,320,76,130,924,1149
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070506,0,0,0,178,56,49,30,350,103,139,923,1156
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070507,0,0,0,200,28,26,60,330,67,98,1247,1042
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070508,0,0,0,250,22,15,170,160,58,107,1301,1302
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070509,0,0,0,278,117,17,150,150,63,89,1933,1938
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070510,3,0,0,272,189,37,150,150,72,107,1513,1554
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070511,0,0,0,294,172,19,330,90,63,125,1824,1539
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070512,30,0,0,256,156,22,60,80,63,112,910,2110
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070513,0,0,0,211,72,43,10,360,89,116,404,402
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070514,0,0,0,233,44,25,190,210,63,94,1305,1453
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070515,0,0,0,294,139,56,200,210,89,130,2113,2104
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070516,13,0,0,283,156,51,200,210,103,134,1213,1141
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070517,0,0,0,211,111,30,340,80,67,107,555,1029
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070518,3,0,0,150,100,27,50,50,67,76,830,830
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070519,0,0,0,228,89,49,290,280,103,161,1703,1704
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070520,3,0,0,278,133,33,280,290,98,161,1447,1609
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070521,0,0,0,233,111,31,350,360,80,103,257,251
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070522,0,0,0,256,83,21,190,140,58,72,1845,1330
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070523,0,0,0,256,128,34,140,140,67,94,1358,1349
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070524,0,0,0,278,128,30,150,210,63,89,1430,1706
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070525,0,0,0,317,139,17,310,340,54,116,1353,1654
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070526,0,0,0,333,161,17,280,260,58,89,1510,1247
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070527,25,0,0,317,183,15,250,240,130,174,1659,1702
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070528,0,0,0,300,172,17,280,270,67,98,1456,1456
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070529,0,0,0,306,178,20,20,30,54,67,754,800
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070530,0,0,0,317,139,22,140,130,72,98,1657,1658
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070531,0,0,0,322,183,27,170,170,58,89,1359,1609
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070601,0,0,0,322,194,30,20,200,67,103,1848,2245
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070602,0,0,0,317,178,23,200,200,67,98,2153,2153
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070603,89,0,0,233,189,42,50,70,98,134,1242,1301
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070604,13,0,0,289,189,33,250,300,89,125,1541,1540
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070605,0,0,0,289,178,47,290,250,107,148,1306,1316
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070606,0,0,0,256,139,41,310,320,94,134,1149,837
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070607,0,0,0,306,106,25,200,200,63,89,1725,1707
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070608,0,0,0,361,194,30,210,210,72,98,1702,1740
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070609,0,0,0,317,183,45,310,360,94,112,1455,1403
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070610,81,0,0,272,161,21,20,340,72,179,1539,1538
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070611,0,0,0,306,156,20,30,350,58,80,1446,1800
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070612,48,0,0,317,144,29,40,30,148,183,1653,1659
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070613,292,0,0,300,167,23,90,140,206,273,1513,1508
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070614,3,0,0,194,144,17,90,70,54,72,716,1934
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070615,0,0,0,222,133,11,20,90,36,67,655,655
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070616,0,0,0,261,128,13,230,220,45,63,1602,1603
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070617,0,0,0,317,150,21,270,270,58,76,1342,1343
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070618,0,0,0,344,189,16,320,320,63,76,1219,1219
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070619,5,0,0,350,194,20,150,150,72,107,1433,1357
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070620,3,0,0,289,183,43,310,300,94,125,1329,1654
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070621,3,0,0,311,122,26,340,340,130,174,1705,1706
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070622,0,0,0,278,161,51,330,320,103,130,1520,1521
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070623,0,0,0,267,117,24,290,310,67,89,1403,1512
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070624,0,0,0,294,128,16,190,190,58,89,1357,1358
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070625,0,0,0,322,211,21,190,150,54,94,1509,1322
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070626,46,0,0,333,211,12,40,40,80,116,2257,2259
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070627,0,0,0,361,217,21,190,160,89,125,1602,1616
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070628,157,0,0,333,217,27,210,290,89,112,1812,1930
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070629,3,0,0,250,211,12,340,80,40,143,1725,1725
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070630,0,0,0,300,206,20,330,60,67,107,1600,1155
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070701,0,0,0,278,167,31,330,290,94,179,1438,1438
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070702,0,0,0,267,150,25,330,90,67,139,1847,1315
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070703,0,0,0,261,128,27,180,140,63,80,1950,1317
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070704,188,0,0,311,189,35,270,270,125,161,1625,1625
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070705,5,0,0,267,206,37,240,250,94,130,1742,1743
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070706,0,0,0,311,189,25,70,80,89,139,1844,1844
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070707,0,0,0,322,172,17,260,80,63,148,1633,1320
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070708,0,0,0,339,172,14,40,90,80,143,910,731
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070709,0,0,0,361,189,13,270,180,58,112,1739,1441
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070710,0,0,0,350,222,20,140,170,67,94,1553,1547
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070711,0,0,0,317,217,29,320,320,94,130,2024,2026
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070712,0,0,0,300,178,29,330,100,76,143,1800,1254
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070713,0,0,0,306,167,25,280,260,63,98,2249,1527
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070714,0,0,0,317,156,30,200,230,67,98,1324,1721
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070715,0,0,0,350,206,32,240,100,112,156,1558,1848
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070716,0,0,0,333,194,19,320,340,54,67,957,1931
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070717,0,0,0,344,183,26,140,150,72,98,1722,1723
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070718,0,0,0,333,228,30,320,330,80,107,1321,1317
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070719,20,0,0,333,206,33,240,240,89,125,1328,1328
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070720,0,0,0,294,172,45,330,360,94,165,1826,1446
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070721,0,0,0,300,167,28,350,330,72,107,1303,1107
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070722,0,0,0,306,178,32,60,290,72,165,705,1820
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070723,0,0,0,300,206,25,350,100,72,112,1800,1147
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070724,0,0,0,306,156,35,160,150,89,139,1346,1540
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070725,0,0,0,306,194,28,150,180,80,112,1319,1322
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070726,0,0,0,339,200,26,170,140,72,130,1445,1527
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070727,56,0,0,350,206,26,310,310,112,139,1530,1532
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070728,15,0,0,328,189,16,190,190,89,112,2009,2010
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070729,137,0,0,300,217,22,350,70,63,103,753,1350
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070730,23,0,0,317,211,14,10,50,45,67,1622,1622
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070731,0,0,0,333,200,20,30,30,49,67,815,816
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070801,0,0,0,350,178,15,70,120,67,112,1818,1814
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070802,0,0,0,350,200,18,150,130,58,76,1637,1745
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070803,0,0,0,350,222,20,210,200,98,125,1519,1520
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070804,0,0,0,367,206,16,310,310,54,72,1303,1304
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070805,3,0,0,322,228,23,360,350,45,54,924,923
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070806,30,0,0,356,222,26,350,320,63,116,1749,1749
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070807,0,0,0,361,222,17,210,220,54,67,1143,1550
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070808,0,0,0,383,261,40,280,280,89,112,1002,1021
GHCND:USW00093738,WASHINGTON DC DULLES INTERNATIONAL AIRPORT VA US,20070809,41,0,0,356,233,23,30,30,107,139,1257,1257
