STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070101,315,0,0,144,61,24,270,300,72,125,2214,221
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070102,0,0,0,117,-17,17,310,310,63,89,52,53
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070103,0,0,0,128,-39,16,200,200,63,72,1403,1603
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070104,0,0,0,183,-6,28,210,210,80,98,1624,1634
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070105,122,0,0,178,128,34,180,170,76,94,2229,2132
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070106,0,0,0,189,78,30,260,230,76,103,1406,1137
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070107,185,0,0,122,39,24,80,80,63,80,1029,1029
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070108,94,0,0,106,-11,32,280,270,80,139,1527,1516
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070109,0,0,0,78,-39,29,300,300,89,134,2210,2304
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070110,0,0,0,39,-56,28,310,310,94,139,139,126
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070111,0,0,0,61,-72,17,180,210,63,72,1605,1313
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070112,13,0,0,111,-6,17,210,210,40,45,2226,2227
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070113,0,0,0,183,50,26,190,220,58,67,1254,1545
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070114,0,0,0,217,89,30,200,230,58,67,1404,1037
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070115,0,0,0,189,106,49,230,220,112,165,1402,1403
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070116,0,0,0,156,6,42,300,290,72,94,738,1329
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070117,0,0,0,17,-56,24,330,350,58,98,14,40
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070118,8,0,0,0,-56,12,220,250,36,54,1410,2232
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070119,0,0,0,83,-17,38,290,280,89,116,1551,1536
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070120,0,0,0,61,-50,31,310,320,94,125,423,411
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070121,109,0,0,-11,-39,16,170,170,40,58,1843,1844
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070122,0,0,0,56,-17,15,280,270,63,80,2131,2132
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070123,0,0,0,56,-28,25,260,260,58,76,1505,1447
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070124,0,0,0,67,-50,20,300,300,58,72,1629,1629
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070125,0,0,0,39,-44,40,270,280,98,125,2008,1543
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070126,0,0,0,61,-83,31,230,230,72,107,1225,1238
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070127,0,0,0,150,-22,40,230,250,94,143,1517,1535
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070128,0,0,0,106,-56,39,300,260,89,130,1257,2256
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070129,0,0,0,-6,-100,35,310,310,76,107,407,444
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070130,0,0,0,67,-83,30,220,260,94,125,1554,1211
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070131,0,0,0,6,-100,18,300,280,63,94,138,139
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070201,5,0,3,0,-50,21,200,210,72,80,749,750
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070202,0,0,0,44,-17,19,270,270,72,107,2114,2014
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070203,0,0,0,33,-44,40,260,260,94,130,1446,1447
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070204,0,0,0,50,-56,39,230,270,107,161,1241,1303
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070205,0,0,0,-44,-111,40,270,260,80,116,1137,1123
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070206,13,0,76,0,-156,27,220,220,72,94,1423,1411
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070207,0,76,3,17,-44,30,280,290,76,107,1513,1514
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070208,0,25,0,17,-72,37,270,270,80,130,1029,1048
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070209,0,0,0,11,-78,28,260,300,63,98,128,313
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070210,0,0,0,33,-106,20,230,220,58,76,1414,1338
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070211,0,0,0,61,-122,14,220,220,63,80,1234,1220
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070212,0,0,0,106,-61,10,30,190,40,58,1418,2019
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070213,279,0,0,44,-11,56,30,40,94,107,1447,1221
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070214,142,0,0,56,-56,28,280,310,98,130,1438,1439
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070215,0,0,0,-6,-89,25,260,250,67,89,1337,1351
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070216,0,0,0,6,-78,29,310,290,63,89,1443,1444
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070217,0,0,0,22,-100,24,200,200,80,103,1615,1616
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070218,0,0,0,11,-61,47,310,310,94,139,1804,1804
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070219,0,0,0,67,-106,33,200,240,72,89,1102,1558
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070220,0,0,0,139,6,47,200,200,89,107,1348,1413
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070221,8,0,0,178,28,21,30,20,67,80,2209,2253
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070222,8,0,0,167,33,51,260,260,130,179,1200,1247
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070223,0,0,0,89,-22,35,300,300,89,139,29,114
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070224,5,0,0,106,-67,9,10,10,40,58,1319,1332
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070225,48,0,0,44,6,38,20,30,67,76,1652,1831
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070226,0,0,0,89,-11,14,240,250,45,63,1257,1323
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070227,0,0,0,144,-22,21,250,250,67,94,1502,1503
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070228,0,0,0,122,-39,13,210,70,54,67,5,1505
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070301,58,0,0,128,6,20,170,180,107,143,2342,2333
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070302,130,0,0,161,50,49,180,170,112,161,137,105
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070303,0,0,0,156,28,53,250,260,125,179,1331,1455
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070304,0,0,0,33,-22,42,300,300,80,116,1415,1416
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070305,0,0,0,144,-28,50,270,250,103,148,1420,1456
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070306,0,0,0,83,-6,30,290,270,76,107,5,6
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070307,0,0,0,178,-28,33,40,40,89,107,1917,1918
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070308,0,0,0,122,-28,27,40,50,63,72,158,200
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070309,0,0,0,111,-44,20,180,180,63,76,1507,1508
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070310,0,0,0,194,17,34,200,220,80,107,1051,1421
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070311,0,0,0,183,39,25,10,10,72,94,1327,1328
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070312,0,0,0,156,-17,15,200,200,54,63,1700,1701
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070313,0,0,0,250,39,21,190,230,72,98,1316,1515
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070314,0,0,0,261,106,31,200,200,72,89,1537,1637
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070315,188,0,0,256,56,38,30,50,107,134,2105,2313
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070316,465,0,0,56,17,53,30,30,103,125,1046,1047
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070317,0,0,0,50,-11,38,290,300,80,116,1349,1452
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070318,0,0,0,67,-50,29,260,310,72,94,1138,1542
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070319,0,0,0,156,-56,47,200,220,107,134,1320,1453
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070320,0,0,0,217,72,38,50,20,80,98,2246,2037
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070321,0,0,0,111,22,31,40,50,76,98,5,5
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070322,0,0,0,233,22,37,200,190,103,156,1452,1452
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070323,0,0,0,272,94,23,230,210,72,103,1235,1409
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070324,0,0,0,261,139,22,20,210,67,72,1409,36
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070325,0,0,0,244,94,26,130,120,58,72,1539,2136
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070326,0,0,0,228,61,34,200,200,80,103,1418,1419
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070327,0,0,0,289,128,21,260,250,63,89,1618,1557
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070328,84,0,0,278,106,31,40,40,112,134,2345,2345
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070329,28,0,0,167,28,31,30,20,98,116,122,34
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070330,0,0,0,189,-6,12,200,190,58,72,1456,1502
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070331,51,0,0,194,61,19,20,30,58,63,2322,2320
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070401,0,0,0,183,106,21,190,190,54,63,2136,2137
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070402,0,0,0,261,100,26,240,230,67,98,1242,1243
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070403,0,0,0,278,67,26,200,200,89,103,1520,1521
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070404,0,0,0,250,78,45,270,270,94,143,1600,1643
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070405,0,0,0,83,11,40,290,270,80,112,1343,1403
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070406,3,0,0,94,-6,26,270,270,67,89,1804,1805
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070407,0,0,0,39,-17,42,260,260,94,130,1200,1557
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070408,0,0,0,83,-56,31,320,300,76,107,1313,1314
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070409,0,0,0,106,-44,21,270,230,58,80,1335,1424
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070410,0,0,0,139,-11,10,180,210,63,80,1518,1605
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070411,259,0,0,94,39,38,20,20,67,80,2032,2033
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070412,66,0,0,200,67,40,250,230,112,161,1410,1348
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070413,0,0,0,150,17,34,260,290,67,103,29,1629
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070414,36,0,0,122,50,28,20,20,72,89,300,301
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070415,330,0,0,128,50,51,320,320,116,183,2313,2329
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070416,0,0,0,117,44,71,310,340,139,210,1056,1057
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070417,0,0,0,194,89,44,320,340,89,130,1003,1032
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070418,0,0,0,167,50,24,50,50,72,80,1713,1705
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070419,3,0,0,111,44,11,60,70,45,45,1529,1516
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070420,0,0,0,206,22,14,40,20,67,89,923,1521
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070421,0,0,0,244,33,9,40,20,54,63,1155,1156
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070422,0,0,0,278,56,13,230,240,58,72,1439,1438
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070423,0,0,0,278,89,44,190,220,94,112,1511,1622
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070424,0,0,0,272,150,26,260,260,72,89,1348,1349
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070425,0,0,0,294,122,34,200,190,103,130,1524,1451
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070426,28,0,0,194,122,49,40,50,89,103,601,741
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070427,64,0,0,217,128,18,20,20,54,63,31,110
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070428,0,0,0,222,89,22,250,240,72,103,1539,1542
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070429,0,0,0,250,94,30,300,310,67,107,1251,1422
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070430,0,0,0,306,94,29,260,270,72,107,1435,1552
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070501,0,0,0,317,117,27,210,180,89,107,1547,1653
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070502,107,0,0,300,144,27,280,270,80,116,1555,1555
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070503,117,0,0,178,100,48,40,30,89,107,322,413
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070504,28,0,0,144,94,12,20,30,40,54,118,834
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070505,0,0,0,161,117,10,220,230,63,72,938,939
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070506,0,0,0,172,50,59,30,30,112,148,956,957
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070507,0,0,0,183,28,52,50,50,98,116,1352,1353
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070508,0,0,0,222,61,40,40,20,72,94,720,918
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070509,51,0,0,244,139,25,130,140,72,80,1310,1310
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070510,0,0,0,256,139,15,180,150,63,72,1556,1315
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070511,18,0,0,294,150,13,360,10,45,58,2354,2355
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070512,119,0,0,267,167,18,40,40,80,94,31,32
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070513,0,0,0,211,72,41,50,50,103,130,1217,1218
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070514,0,0,0,228,44,21,200,200,63,72,1717,1718
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070515,0,0,0,278,100,47,200,200,94,107,1600,1456
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070516,86,0,0,278,122,36,190,200,94,116,1212,1225
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070517,264,0,0,194,72,20,310,300,80,107,2138,2138
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070518,13,0,0,161,83,30,50,40,94,103,19,16
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070519,0,0,0,217,67,20,270,260,58,76,1546,1547
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070520,0,0,0,272,111,29,250,250,67,89,1217,1217
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070521,0,0,0,278,128,24,50,20,58,63,2328,1804
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070522,0,0,0,250,161,22,20,190,58,63,1356,53
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070523,0,0,0,239,144,14,110,150,40,67,1413,1511
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070524,0,0,0,256,111,13,210,200,45,63,841,842
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070525,0,0,0,294,106,13,220,250,45,58,1059,1013
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070526,33,0,0,294,144,16,10,360,107,148,1440,1441
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070527,0,0,0,300,172,25,190,210,67,76,1511,1509
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070528,0,0,0,300,167,22,220,310,54,63,1509,756
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070529,0,0,0,283,150,20,50,30,89,103,918,856
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070530,0,0,0,289,172,14,170,190,45,67,1244,1543
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070531,20,0,0,300,161,21,320,320,67,103,1844,1848
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070601,0,0,0,294,172,13,170,160,58,67,1937,1938
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070602,0,0,0,289,167,26,180,170,63,76,1545,1613
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070603,206,0,0,194,167,45,50,50,130,165,922,923
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070604,0,0,0,278,150,30,260,260,72,112,1140,1224
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070605,3,0,0,267,150,31,260,260,72,103,1258,1340
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070606,0,0,0,256,122,20,280,270,63,89,1314,1314
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070607,0,0,0,317,117,19,200,200,58,72,1616,1617
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070608,89,0,0,333,194,25,300,290,89,139,1909,1910
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070609,18,0,0,306,189,17,280,280,80,103,1529,1529
GHCND:USW00013733,LYNCHBURG REGIONAL AIRPORT VA US,20070610,0,0,0,278,161,20,40,40,58,67,901,902
