STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070101,0,0,0,89,33,34,310,320,76,98,1342,1406
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070102,0,0,0,139,-11,24,70,70,67,94,908,925
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070103,0,0,0,139,11,17,140,140,54,67,1016,1021
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070104,0,0,0,189,111,36,170,190,67,94,2225,2331
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070105,163,0,0,189,89,34,230,230,98,125,507,507
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070106,0,0,0,194,89,23,290,290,58,67,1132,1132
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070107,180,0,0,222,106,47,300,300,94,116,2206,2207
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070108,0,0,0,111,22,32,310,320,72,94,509,1456
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070109,0,0,0,122,17,45,330,320,103,148,1405,1406
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070110,0,0,0,111,-22,16,40,70,63,80,847,856
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070111,0,0,0,150,28,39,150,150,80,112,946,958
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070112,0,0,0,206,133,35,150,140,67,89,1441,1442
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070113,0,0,0,222,106,32,200,210,80,98,1121,1127
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070114,0,0,0,233,133,34,190,190,76,89,2334,1322
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070115,53,0,0,200,78,36,310,280,98,116,1328,2156
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070116,5,0,0,78,-11,58,30,20,80,112,2201,2203
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070117,0,0,0,72,-17,35,100,110,63,94,1103,1103
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070118,25,0,0,78,33,31,140,120,67,89,41,37
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070119,3,0,0,94,28,39,20,20,72,89,926,927
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070120,0,0,0,94,6,27,100,120,54,72,2113,2115
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070121,292,0,0,100,67,31,140,130,76,112,824,854
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070122,5,0,0,106,39,39,330,350,67,76,2319,2258
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070123,0,0,0,61,17,26,360,360,58,67,1,1
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070124,0,0,0,111,17,21,320,340,54,63,1418,1432
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070125,0,0,0,94,-22,30,340,10,80,107,1139,1250
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070126,0,0,0,133,-44,6,260,280,36,54,1506,1511
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070127,23,0,0,139,-6,18,280,270,67,76,1706,1650
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070128,0,0,0,67,-39,60,290,300,103,130,1531,1159
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070129,0,0,0,61,-78,16,230,10,45,63,5,2151
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070130,0,0,0,94,-22,41,350,350,76,107,2207,2208
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070131,13,0,0,61,-72,23,360,10,72,94,13,13
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070201,246,0,0,72,11,25,80,80,58,72,533,505
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070202,5,0,0,56,-33,32,300,290,80,103,1421,1335
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070203,0,0,0,67,-61,16,300,310,76,98,1024,1042
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070204,0,0,0,100,-33,32,270,270,94,112,1023,1023
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070205,0,0,0,72,-39,26,10,10,67,98,1139,1226
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070206,0,0,0,144,-33,35,240,210,76,98,1634,1641
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070207,0,0,0,183,39,33,240,230,72,89,38,104
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070208,0,0,0,83,22,27,10,20,72,89,830,831
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070209,10,0,0,44,-33,27,360,360,58,67,227,228
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070210,0,0,0,72,-50,30,360,340,63,80,1541,1601
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070211,0,0,0,139,-39,7,330,340,36,45,1221,1221
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070212,0,0,0,200,17,18,200,180,58,67,1520,1419
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070213,140,0,0,178,39,44,300,290,112,139,2137,2138
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070214,0,0,0,39,-33,61,340,340,98,125,650,545
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070215,0,0,0,33,-44,46,10,350,76,94,1143,458
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070216,0,0,0,33,-67,29,350,340,67,80,30,30
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070217,0,0,0,106,-11,63,330,330,103,130,2324,2321
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070218,0,0,0,89,-44,43,340,340,98,130,225,227
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070219,0,0,0,150,-39,34,210,210,94,112,1354,1313
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070220,8,0,0,206,94,57,190,190,130,165,2135,2130
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070221,46,0,0,222,117,39,210,220,76,103,11,12
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070222,0,0,0,222,50,30,340,320,76,98,1520,1545
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070223,0,0,0,189,39,26,70,70,58,72,2156,2147
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070224,0,0,0,211,89,61,150,140,130,174,1855,1845
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070225,196,0,0,189,61,51,260,250,139,170,1441,1442
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070226,0,0,0,200,17,17,250,260,72,94,1342,1342
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070227,0,0,0,217,39,18,330,90,58,67,2339,1318
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070228,0,0,0,239,94,42,200,190,89,103,1506,1507
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070301,119,0,0,206,106,58,300,170,116,148,1614,1759
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070302,0,0,0,172,28,33,240,250,76,103,1511,1622
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070303,0,0,0,150,28,47,270,270,125,143,1528,1528
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070304,0,0,0,100,-17,43,330,330,80,98,1256,1256
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070305,0,0,0,167,-33,16,330,330,72,80,1443,1444
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070306,0,0,0,206,11,8,310,350,54,63,1327,1400
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070307,0,0,0,217,56,21,270,300,76,107,1159,1513
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070308,0,0,0,228,44,9,230,210,54,63,1323,1324
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070309,0,0,0,239,61,31,130,140,72,103,1510,2207
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070310,0,0,0,239,133,22,130,120,63,80,135,246
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070311,0,0,0,256,89,17,10,350,58,67,1535,1651
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070312,0,0,0,272,106,11,170,220,40,54,1402,1038
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070313,0,0,0,267,122,26,200,200,76,94,1142,1143
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070314,0,0,0,278,161,44,200,190,98,112,1532,1508
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070315,130,0,0,200,161,20,280,270,54,58,1352,1352
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070316,8,0,0,178,44,59,340,340,112,139,718,719
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070317,0,0,0,133,11,40,10,360,89,107,1240,1302
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070318,0,0,0,172,61,18,70,80,54,72,1349,911
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070319,0,0,0,239,100,44,200,200,98,116,1414,1235
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070320,0,0,0,256,100,22,230,220,63,76,148,149
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070321,0,0,0,261,117,29,180,130,76,103,1339,1216
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070322,0,0,0,256,144,27,170,140,67,89,1439,1440
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070323,0,0,0,272,117,15,200,180,58,72,1541,1438
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070324,0,0,0,289,122,6,280,280,45,58,1131,1217
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070325,0,0,0,306,139,5,20,60,40,54,1506,1529
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070326,0,0,0,294,156,22,200,200,76,98,1227,1228
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070327,0,0,0,267,178,22,200,190,63,72,1229,1306
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070328,0,0,0,283,167,20,210,220,76,89,1241,1242
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070329,0,0,0,306,139,12,120,120,58,72,2216,2123
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070330,0,0,0,217,156,29,100,80,58,72,318,1154
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070331,3,0,0,250,156,40,150,130,80,98,954,951
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070401,3,0,0,228,189,44,190,180,72,94,1700,1757
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070402,5,0,0,272,161,19,250,240,58,72,1704,1712
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070403,0,0,0,283,161,36,360,20,125,161,2356,2357
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070404,99,0,0,200,89,45,360,360,125,165,2,2357
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070405,0,0,0,144,33,45,330,20,94,125,1131,1450
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070406,0,0,0,144,22,55,320,340,112,143,2208,2208
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070407,0,0,0,94,-11,47,290,330,98,125,1329,1524
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070408,0,0,0,128,-11,20,300,300,67,94,1435,1435
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070409,0,0,0,144,61,20,260,280,67,80,1523,1426
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070410,8,0,0,200,44,31,150,140,67,94,2358,2359
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070411,10,0,0,211,100,40,150,150,94,116,710,717
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070412,0,0,0,217,50,30,270,270,98,134,1245,1245
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070413,0,0,0,233,61,30,70,120,67,98,2038,931
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070414,38,0,0,206,100,43,310,310,103,125,2023,2024
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070415,0,0,0,128,50,61,300,330,116,170,1054,1101
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070416,0,0,0,233,11,33,330,330,98,130,1412,1203
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070417,0,0,0,261,50,17,10,340,76,98,1029,1022
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070418,0,0,0,244,106,20,200,320,58,63,1646,751
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070419,0,0,0,250,72,36,20,330,94,116,1552,1644
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070420,0,0,0,239,67,22,20,40,58,72,1450,1500
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070421,0,0,0,256,89,13,50,60,54,67,1337,1342
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070422,0,0,0,261,100,32,190,180,76,94,1235,1321
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070423,0,0,0,278,139,33,210,210,80,107,1003,1033
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070424,0,0,0,283,189,38,190,200,72,80,2346,1432
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070425,0,0,0,272,178,44,230,220,76,98,1201,1241
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070426,503,0,0,272,167,48,200,200,107,134,1435,1435
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20070427,0,0,0,228,122,29,300,280,76,98,1023,1412
