STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070101,345,-9999,-9999,133,61,29,150,160,72,89,546
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070102,0,-9999,-9999,94,17,45,330,300,98,125,1006
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070103,0,-9999,-9999,117,-32,26,220,200,81,107,1212
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070104,0,-9999,-9999,144,11,17,200,200,45,58,1419
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070105,33,-9999,-9999,172,72,33,190,200,67,76,1939
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070106,3,-9999,-9999,222,122,56,250,250,98,134,1611
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070107,107,-9999,-9999,128,50,30,70,80,67,81,2253
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070108,224,-9999,-9999,133,28,36,280,290,103,143,1558
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070109,0,-9999,-9999,72,-10,34,260,260,76,107,1318
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070110,0,-9999,-9999,22,-27,43,290,280,112,139,1204
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070111,0,-9999,-9999,33,-49,22,200,200,54,58,1555
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070112,0,-9999,-9999,100,-5,28,210,200,63,76,1501
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070113,36,-9999,-9999,139,72,18,240,230,45,63,1114
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070114,30,-9999,-9999,100,67,17,50,50,45,58,2258
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070115,0,-9999,-9999,172,56,27,200,180,89,112,2151
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070116,3,-9999,-9999,172,-43,57,310,300,103,143,2351
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070117,0,-9999,-9999,0,-77,31,330,320,98,125,28
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070118,3,-9999,-9999,17,-77,5,360,360,27,31,1801
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070119,8,-9999,-9999,61,-21,48,290,270,116,157,1520
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070120,0,-9999,-9999,6,-55,60,280,310,116,161,1423
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070121,0,-9999,-9999,-21,-71,21,290,300,63,89,333
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070122,0,-9999,-9999,0,-49,11,260,260,31,40,2222
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070123,0,-9999,-9999,33,-27,26,290,280,63,76,1255
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070124,0,-9999,-9999,39,-27,22,260,260,54,63,1408
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070125,0,-9999,-9999,22,-88,39,300,350,103,139,2353
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070126,0,-9999,-9999,-43,-127,49,300,300,103,134,1404
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070127,0,-9999,-9999,28,-55,10,300,280,36,40,1501
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070128,20,-9999,-9999,50,-10,11,340,340,63,72,2328
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070129,3,-9999,-9999,-10,-66,43,310,300,94,134,1304
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070130,0,-9999,-9999,28,-82,30,260,260,94,112,2239
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070131,0,-9999,-9999,0,-55,41,290,260,81,107,1546
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070201,0,-9999,-9999,17,-49,22,210,210,81,94,1003
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070202,30,-9999,-9999,39,-16,17,270,270,54,72,2353
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070203,0,-9999,-9999,6,-60,52,240,280,98,125,348
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070204,0,-9999,-9999,-21,-93,49,280,220,116,161,2355
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070205,0,-9999,-9999,-82,-132,63,290,220,125,161,2355
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070206,0,-9999,-9999,-60,-127,44,260,270,81,116,59
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070207,0,-9999,-9999,-43,-110,42,290,250,94,116,1408
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070208,0,-9999,-9999,-27,-99,53,290,260,112,148,1020
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070209,0,-9999,-9999,-5,-88,51,320,300,94,134,1121
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070210,0,-9999,-9999,0,-66,43,300,300,89,107,1320
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070211,0,-9999,-9999,6,-99,29,240,240,63,81,1632
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070212,0,-9999,-9999,50,-49,22,260,260,72,89,1222
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070213,13,-9999,-9999,11,-60,51,60,60,103,125,2351
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070214,53,-9999,-9999,6,-82,84,30,30,143,179,831
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070215,0,-9999,-9999,-55,-99,62,280,360,107,143,1421
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070216,0,-9999,-9999,-27,-105,57,290,310,107,134,1409
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070217,0,-9999,-9999,28,-82,32,250,260,63,76,1422
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070218,0,-9999,-9999,6,-71,45,330,330,98,130,1830
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070219,0,-9999,-9999,-16,-110,48,300,320,98,134,353
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070220,5,-9999,-9999,89,-38,19,210,210,58,81,1024
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070221,8,-9999,-9999,100,-16,23,360,340,63,89,1340
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070222,43,-9999,-9999,72,-32,33,290,280,103,143,2008
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070223,0,-9999,-9999,33,-49,72,330,350,125,161,1020
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070224,0,-9999,-9999,56,-71,53,300,290,94,134,142
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070225,69,-9999,-9999,17,-38,22,60,70,63,76,2314
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070226,36,-9999,-9999,11,0,3,70,70,63,72,103
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070227,3,-9999,-9999,78,0,16,290,260,54,67,1243
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070228,0,-9999,-9999,78,-10,26,300,300,72,94,1240
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070301,46,-9999,-9999,94,-16,32,110,50,72,89,2345
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070302,399,-9999,-9999,150,22,48,280,290,116,157,1244
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070303,0,-9999,-9999,139,-16,25,330,310,98,139,1501
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070304,0,-9999,-9999,39,0,52,280,270,103,134,1306
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070305,0,-9999,-9999,56,-49,68,250,240,139,192,1431
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070306,0,-9999,-9999,-43,-99,69,310,360,125,165,830
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070307,15,-9999,-9999,-43,-110,10,30,20,40,54,301
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070308,0,-9999,-9999,17,-116,38,290,270,89,125,1431
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070309,0,-9999,-9999,44,-93,26,170,170,63,72,2033
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070310,18,-9999,-9999,167,-38,28,210,230,98,134,1533
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070311,28,-9999,-9999,106,6,35,340,360,89,107,1605
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070312,0,-9999,-9999,144,-21,21,190,200,58,72,1552
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070313,0,-9999,-9999,183,17,24,210,200,72,94,1345
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070314,0,-9999,-9999,261,78,24,220,210,81,107,1512
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070315,94,-9999,-9999,211,33,35,330,350,98,125,1145
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070316,391,-9999,-9999,33,-32,64,40,30,116,139,1526
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070317,0,-9999,-9999,22,-32,54,280,280,94,130,1346
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070318,0,-9999,-9999,44,-32,49,290,260,94,143,1612
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070319,5,-9999,-9999,67,-32,35,200,190,89,107,1319
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070320,0,-9999,-9999,106,0,43,340,350,94,134,1608
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070321,0,-9999,-9999,72,-38,35,160,150,63,81,1803
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070322,20,-9999,-9999,206,44,40,210,210,103,130,1335
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070323,56,-9999,-9999,156,89,13,330,210,45,67,337
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070324,15,-9999,-9999,122,67,25,50,70,67,81,916
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070325,0,-9999,-9999,133,33,32,40,70,63,81,1319
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070326,0,-9999,-9999,133,33,34,190,190,72,94,1327
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070327,0,-9999,-9999,278,72,28,290,330,81,103,1512
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070328,0,-9999,-9999,189,67,42,350,350,94,112,2147
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070329,0,-9999,-9999,144,22,47,330,330,107,130,1302
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070330,0,-9999,-9999,189,17,26,250,270,67,81,1407
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070331,0,-9999,-9999,133,50,22,150,130,58,63,1926
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070401,18,-9999,-9999,100,33,27,70,60,58,72,1706
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070402,23,-9999,-9999,217,56,19,100,110,63,76,1826
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070403,0,-9999,-9999,183,61,31,110,110,81,103,2336
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070404,216,-9999,-9999,72,44,43,100,300,89,116,2330
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070405,0,-9999,-9999,67,6,-9999,290,280,103,143,1750
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070406,0,-9999,-9999,61,-5,38,280,240,76,107,931
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070407,0,-9999,-9999,56,-21,33,270,260,81,112,1659
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070408,0,-9999,-9999,56,-16,53,250,290,98,143,1635
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070409,0,-9999,-9999,83,-10,33,290,240,76,107,1339
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070410,0,-9999,-9999,100,6,34,290,330,81,125,1326
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070411,0,-9999,-9999,133,-27,34,120,120,76,94,1547
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070412,345,-9999,-9999,83,44,44,70,70,103,130,715
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070413,0,-9999,-9999,106,39,62,300,310,112,157,1505
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070414,3,-9999,-9999,122,17,34,320,320,81,112,751
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070415,1158,-9999,-9999,100,50,59,30,40,103,125,1059
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070416,221,-9999,-9999,61,22,78,280,270,134,179,1229
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070417,8,-9999,-9999,111,44,54,310,300,98,134,1621
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070418,0,-9999,-9999,117,56,35,40,10,81,103,904
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070419,8,-9999,-9999,150,72,27,120,130,67,76,2238
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070420,0,-9999,-9999,222,33,25,40,360,72,89,1405
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070421,0,-9999,-9999,250,33,11,320,360,54,76,1442
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070422,0,-9999,-9999,267,83,20,130,140,72,81,1716
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070423,0,-9999,-9999,289,100,39,200,200,98,130,1633
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070424,0,-9999,-9999,244,122,35,280,280,81,107,1015
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070425,38,-9999,-9999,206,83,30,20,10,72,89,1441
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070426,10,-9999,-9999,150,83,35,120,120,67,89,1245
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070427,472,-9999,-9999,156,83,11,70,50,67,81,120
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070428,0,-9999,-9999,200,117,29,250,240,72,94,1422
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070429,3,-9999,-9999,211,111,27,340,340,89,107,1345
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070430,8,-9999,-9999,272,72,41,290,320,107,157,1344
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070501,15,-9999,-9999,200,94,19,80,70,81,98,2203
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070502,3,-9999,-9999,211,106,25,320,310,67,89,1551
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070503,0,-9999,-9999,211,78,18,170,150,63,76,1907
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070504,0,-9999,-9999,211,61,16,330,160,58,72,2011
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070505,0,-9999,-9999,239,56,18,350,350,81,107,2358
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070506,0,-9999,-9999,167,56,49,40,20,103,130,756
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070507,0,-9999,-9999,189,39,29,90,90,81,94,1124
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070508,0,-9999,-9999,244,39,23,200,200,63,81,1419
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070509,0,-9999,-9999,272,106,21,200,160,67,76,2009
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070510,0,-9999,-9999,261,172,20,170,190,54,63,1617
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070511,0,-9999,-9999,283,167,16,290,290,58,76,1615
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070512,183,-9999,-9999,244,133,30,120,120,72,89,1402
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070513,3,-9999,-9999,211,100,36,20,10,72,107,1125
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070514,0,-9999,-9999,211,56,24,200,220,63,76,1452
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070515,0,-9999,-9999,283,106,53,210,210,94,116,1844
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070516,155,-9999,-9999,289,156,44,250,250,157,179,1431
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070517,0,-9999,-9999,217,117,26,80,80,67,81,2346
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070518,0,-9999,-9999,167,89,34,30,30,76,94,858
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070519,3,-9999,-9999,183,67,27,290,280,72,89,933
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070520,5,-9999,-9999,239,111,36,250,300,81,103,1701
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070521,0,-9999,-9999,222,111,30,330,310,76,103,400
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070522,0,-9999,-9999,239,83,17,140,130,67,76,1912
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070523,0,-9999,-9999,250,100,30,160,160,67,76,1945
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070524,0,-9999,-9999,278,111,22,270,210,58,72,1338
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070525,0,-9999,-9999,311,133,17,200,270,45,76,1511
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070526,0,-9999,-9999,317,167,17,280,280,63,81,2021
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070527,48,-9999,-9999,306,172,12,190,320,103,130,1932
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070528,0,-9999,-9999,272,172,20,240,250,58,72,1617
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070529,0,-9999,-9999,267,133,21,340,10,63,76,1037
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070530,0,-9999,-9999,300,122,6,240,350,45,67,1304
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070531,0,-9999,-9999,328,161,16,340,350,45,67,2355
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070601,170,-9999,-9999,317,194,22,290,310,107,139,1922
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070602,0,-9999,-9999,311,183,22,200,210,67,81,1738
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070603,183,-9999,-9999,250,178,40,90,80,94,112,1857
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070604,30,-9999,-9999,250,172,27,10,30,63,81,534
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070605,0,-9999,-9999,267,167,29,260,240,94,112,1606
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070606,0,-9999,-9999,222,122,28,280,320,67,94,806
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070607,0,-9999,-9999,267,106,17,130,120,58,67,1802
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070608,0,-9999,-9999,328,156,10,150,270,45,63,2247
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070609,0,-9999,-9999,300,178,37,70,330,76,98,655
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070610,0,-9999,-9999,250,178,10,100,90,40,54,1909
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070611,3,-9999,-9999,289,167,15,50,50,81,98,2343
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070612,86,-9999,-9999,294,183,18,80,90,103,130,1320
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070613,3,-9999,-9999,211,139,27,70,70,67,81,2309
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070614,0,-9999,-9999,178,128,17,50,30,54,63,28
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070615,0,-9999,-9999,239,139,15,170,50,45,72,1309
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070616,0,-9999,-9999,283,139,14,210,280,54,67,1324
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070617,0,-9999,-9999,317,178,23,250,230,67,89,1539
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070618,0,-9999,-9999,317,189,23,150,180,63,76,1710
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070619,157,-9999,-9999,333,167,28,160,140,81,107,1554
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070620,122,-9999,-9999,272,178,22,280,290,112,157,21
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070621,23,-9999,-9999,283,144,24,350,350,98,130,2011
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070622,0,-9999,-9999,256,156,37,320,290,89,143,1304
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070623,0,-9999,-9999,244,117,26,320,310,67,94,1312
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070624,0,-9999,-9999,283,106,15,250,220,45,67,1342
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070625,0,-9999,-9999,261,167,9,160,160,58,72,938
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070626,0,-9999,-9999,344,189,13,190,180,45,58,2106
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070627,272,-9999,-9999,344,217,24,220,220,94,116,2113
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070628,236,-9999,-9999,317,217,21,330,290,98,134,1833
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070629,0,-9999,-9999,250,189,15,290,300,54,67,604
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070630,0,-9999,-9999,272,178,15,350,10,45,63,1059
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070701,0,-9999,-9999,239,144,34,360,360,76,98,44
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070702,0,-9999,-9999,239,122,25,340,340,72,89,1203
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070703,0,-9999,-9999,267,117,16,260,260,40,54,1251
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070704,74,-9999,-9999,233,161,39,170,160,76,103,1414
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070705,300,-9999,-9999,267,200,18,200,200,63,72,1454
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070706,3,-9999,-9999,289,194,22,280,290,63,81,1623
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070707,0,-9999,-9999,294,167,21,260,240,58,76,1602
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070708,0,-9999,-9999,322,183,17,240,240,63,89,1347
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070709,0,-9999,-9999,339,222,17,250,240,58,76,1438
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070710,13,-9999,-9999,344,222,22,110,110,134,165,1330
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070711,41,-9999,-9999,306,222,22,340,350,67,94,2318
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070712,0,-9999,-9999,272,189,29,350,350,67,94,35
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070713,0,-9999,-9999,278,178,19,260,230,54,63,1229
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070714,0,-9999,-9999,289,172,20,200,230,67,94,1520
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070715,0,-9999,-9999,322,194,32,200,210,81,107,2158
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070716,0,-9999,-9999,283,217,23,120,120,45,63,1816
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070717,61,-9999,-9999,322,189,16,120,130,67,76,1906
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070718,48,-9999,-9999,283,217,7,20,20,58,72,1335
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070719,0,-9999,-9999,294,233,-9999,220,260,98,116,1648
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070720,0,-9999,-9999,267,178,36,300,270,76,103,1125
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070721,0,-9999,-9999,289,150,33,350,340,67,81,1501
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070722,0,-9999,-9999,289,178,27,50,20,63,81,1138
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070723,198,-9999,-9999,200,150,42,360,280,76,107,1451
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070724,0,-9999,-9999,289,128,17,140,170,63,72,1950
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070725,0,-9999,-9999,294,167,22,130,110,58,67,1920
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070726,0,-9999,-9999,294,211,16,130,130,58,67,1843
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070727,43,-9999,-9999,317,211,25,160,140,81,98,1720
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070728,0,-9999,-9999,311,206,9,140,150,40,58,1850
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070729,23,-9999,-9999,267,211,11,310,310,67,89,1028
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070730,0,-9999,-9999,300,200,10,190,180,58,67,1440
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070731,0,-9999,-9999,317,200,17,350,350,63,72,1530
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070801,0,-9999,-9999,333,194,16,340,340,45,58,1400
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070802,0,-9999,-9999,344,194,13,170,250,40,54,1236
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070803,0,-9999,-9999,344,222,26,200,190,76,94,1358
GHCND:USW00014792,TRENTON MERCER CO AIRPORT NJ US,20070804,0,-9999,-9999,333,206,17,350,340,54,67,1533
